Durusdinium11160_c0_g1_i1	Durusdinium11160	OG0001396
Durusdinium11642_c0_g1_i1	Durusdinium11642	OG0000794
Durusdinium44313_c0_g1_i1	Durusdinium44313	OG0008152
Durusdinium17145_c0_g1_i1	Durusdinium17145	OG0002279
Durusdinium9987_c0_g1_i1	Durusdinium9987	OG0006282
Durusdinium4352_c0_g1_i1	Durusdinium4352	OG0001067
Durusdinium37575_c0_g1_i3	Durusdinium37575	OG0006843
Durusdinium15094_c0_g1_i1	Durusdinium15094	OG0009555
Durusdinium22841_c0_g1_i1	Durusdinium22841	OG0006897
Durusdinium12877_c0_g1_i1	Durusdinium12877	OG0009834
Durusdinium27231_c0_g1_i2	Durusdinium27231	OG0008544
Durusdinium517_c0_g1_i2	Durusdinium517	OG0000636
Durusdinium29814_c0_g1_i3	Durusdinium29814	OG0001630
Durusdinium55161_c0_g1_i1	Durusdinium55161	OG0002059
Durusdinium41180_c0_g1_i7	Durusdinium41180	OG0000377
Durusdinium11733_c0_g1_i2	Durusdinium11733	OG0001187
Durusdinium8001_c0_g1_i1	Durusdinium8001	OG0005984
Durusdinium31087_c0_g1_i1	Durusdinium31087	OG0002259
Durusdinium7077_c0_g1_i1	Durusdinium7077	OG0000344
Durusdinium33930_c0_g1_i1	Durusdinium33930	OG0000057
Durusdinium26767_c0_g1_i1	Durusdinium26767	OG0000144
Durusdinium36276_c0_g3_i1	Durusdinium36276	OG0000509
Durusdinium12697_c0_g1_i1	Durusdinium12697	OG0000143
Durusdinium38608_c0_g1_i5	Durusdinium38608	OG0007273
Durusdinium54260_c0_g1_i1	Durusdinium54260	OG0005733
Durusdinium36202_c0_g1_i8	Durusdinium36202	OG0000260
Durusdinium54507_c0_g1_i1	Durusdinium54507	OG0000126
Durusdinium24720_c0_g2_i1	Durusdinium24720	OG0008565
Durusdinium345_c0_g1_i2	Durusdinium345	OG0000170
Durusdinium28497_c0_g1_i3	Durusdinium28497	OG0006584
Durusdinium39189_c0_g1_i23	Durusdinium39189	OG0008393
Durusdinium17366_c0_g1_i1	Durusdinium17366	OG0003543
Durusdinium33573_c0_g1_i4	Durusdinium33573	OG0007315
Durusdinium17908_c0_g2_i1	Durusdinium17908	OG0002160
Durusdinium20903_c0_g1_i1	Durusdinium20903	OG0003553
Durusdinium41417_c4_g1_i5	Durusdinium41417	OG0001168
Durusdinium34882_c0_g1_i2	Durusdinium34882	OG0004236
Durusdinium50161_c0_g1_i1	Durusdinium50161	OG0000274
Durusdinium17699_c0_g1_i2	Durusdinium17699	OG0009583
Durusdinium10423_c0_g1_i1	Durusdinium10423	OG0007782
Durusdinium10959_c0_g1_i1	Durusdinium10959	OG0002157
Durusdinium19873_c0_g1_i3	Durusdinium19873	OG0001985
Durusdinium48322_c0_g1_i1	Durusdinium48322	OG0000036
Durusdinium46304_c0_g1_i1	Durusdinium46304	OG0004151
Durusdinium22613_c0_g1_i1	Durusdinium22613	OG0003725
Durusdinium34376_c0_g1_i4	Durusdinium34376	OG0000964
Durusdinium12195_c0_g1_i1	Durusdinium12195	OG0009996
Durusdinium21269_c0_g1_i3	Durusdinium21269	OG0006595
Durusdinium30563_c0_g2_i3	Durusdinium30563	OG0001177
Durusdinium36848_c0_g1_i1	Durusdinium36848	OG0000918
Durusdinium37942_c0_g3_i1	Durusdinium37942	OG0007468
Durusdinium2383_c0_g1_i1	Durusdinium2383	OG0008909
Durusdinium22532_c0_g1_i1	Durusdinium22532	OG0004903
Durusdinium38365_c0_g1_i4	Durusdinium38365	OG0000790
Durusdinium28064_c0_g1_i2	Durusdinium28064	OG0001112
Durusdinium26191_c0_g2_i1	Durusdinium26191	OG0000071
Durusdinium18919_c0_g1_i3	Durusdinium18919	OG0002738
Durusdinium28777_c0_g1_i2	Durusdinium28777	OG0007660
Durusdinium10539_c0_g1_i1	Durusdinium10539	OG0003497
Durusdinium23722_c0_g1_i2	Durusdinium23722	OG0006831
Durusdinium11183_c0_g1_i2	Durusdinium11183	OG0004444
Durusdinium25666_c0_g1_i2	Durusdinium25666	OG0005269
Durusdinium14701_c0_g1_i1	Durusdinium14701	OG0007844
Durusdinium33534_c0_g2_i3	Durusdinium33534	OG0009088
Durusdinium28734_c0_g1_i3	Durusdinium28734	OG0009770
Durusdinium38699_c0_g2_i1	Durusdinium38699	OG0001570
Durusdinium4273_c0_g1_i2	Durusdinium4273	OG0004072
Durusdinium23234_c0_g1_i2	Durusdinium23234	OG0008812
Durusdinium13307_c0_g1_i1	Durusdinium13307	OG0001325
Durusdinium37157_c0_g5_i1	Durusdinium37157	OG0000297
Durusdinium39894_c0_g1_i7	Durusdinium39894	OG0001321
Durusdinium49267_c0_g1_i1	Durusdinium49267	OG0000723
Durusdinium41842_c0_g1_i1	Durusdinium41842	OG0000055
Durusdinium54719_c0_g1_i1	Durusdinium54719	OG0005209
Durusdinium40963_c0_g3_i3	Durusdinium40963	OG0001147
Durusdinium55423_c0_g1_i1	Durusdinium55423	OG0000070
